Word	Type
coolant	substance_n1
cooperation	event_n1
coot	bird_n1
cop	person_n1
copper	element_n2
copy	artifact_n1
coral	property_n3
cord	artifact_n1
cordgrass	plant_n2
core	location_n1
cork	material_n1
corn	plant_n2
cornea	body_part_n1
corner	location_n1
corneum	location_n1
corona	phenomenon_n1
coronation	event_n1
corporation	social_group_n1
correspondence	written_language_n1
corrosion	state_n4
cortex	body_part_n1
corticosteroid	substance_n1
cortisol	substance_n1
cost	quality_n1
costa	body_part_n1
costume	clothing_n1
cot	artifact_n1
cottage	building_n1
cotton	material_n1
cottonmouth	animal_n1
cottontail	animal_n1
cotyledon	plant_part_n1
cougar	animal_n1
cough	knowledge_n1
council	social_group_n1
counsel	person_n1
counselor	person_n1
counter	artifact_n1
counterfeiter	person_n1
countertop	artifact_n1
country	location_n1
countryside	location_n1
county	location_n1
couple	indefinite_quantity_n1
courgette	plant_n2
courier	person_n1
court	social_group_n1
courtesy	event_n1
courtier	person_n1
courtyard	location_n1
cousin	person_n1
coverage	property_n3
cow	animal_n1
coward	person_n1
cowboy	person_n1
cox	person_n1
coyote	animal_n1
crab	animal_n1
crack	shape_n2
cracker	substance_n1
craft	transport_n1
crake	bird_n1
cranium	body_part_n1
crash	event_n1
crate	artifact_n1
crater	shape_n2
crayon	artifact_n1
cream	food_n1
creation	activity_n1
creativity	knowledge_n1
creature	animal_n1
credit	message_n2
creek	water_n2
creep	event_n1
creeper	plant_n2
crescent	shape_n2
crest	location_n1
crevice	shape_n2
crew	social_group_n1
cricket	insect_n1
crime	activity_n1
criminal	person_n1
crisis	state_n4
criticism	message_n2
critter	animal_n1
croak	auditory_communication_n1
crocodile	animal_n1
crocodilian	animal_n1
crocus	plant_n2
crook	person_n1
crop	event_n1
crowd	social_group_n1
crust	location_n1
crystal	substance_n1
crystallization	phenomenon_n1
cube	shape_n2
cuckoo	bird_n1
cucumber	plant_n2
cud	food_n1
cuff	artifact_n1
culprit	person_n1
culture	social_group_n1
cumulus	phenomenon_n1
cup	artifact_n1
cupboard	artifact_n1
curb	activity_n1
curiosity	state_n4
currant	plant_part_n1
current	phenomenon_n1
curriculum	message_n2
curry	food_n1
curtain	artifact_n1
curve	property_n3
cuscus	animal_n1
cushion	artifact_n1
custard	food_n1
custom	activity_n1
customer	person_n1
cuticle	location_n1
cuttlefish	animal_n1
cycad	plant_n2
cyclist	person_n1
cyclone	phenomenon_n1
cygnet	bird_n1
cylinder	artifact_n1
cynodont	animal_n1
cyst	state_n4
cytokine	substance_n1
cytokinesis	phenomenon_n1
cytoplasm	substance_n1
cytosine	substance_n1
cytoskeleton	body_part_n1
cytosol	substance_n1
dad	person_n1
daddy	person_n1
daffodil	plant_n2
dairy	location_n1
daisy	plant_n2
dam	artifact_n1
damage	event_n1
dance	artifact_n1
dancer	person_n1
dandelion	plant_n2
danger	state_n4
darkness	state_n4
dart	device_n1
dash	action_n1
dassie	animal_n1
database	message_n2
daughter	person_n1
dawn	knowledge_n1
daylight	period_n1
dearie	person_n1
death	event_n1
debate	auditory_communication_n1
debris	material_n1
debt	state_n4
decade	period_n1
decapod	animal_n1
decay	phenomenon_n1
deceit	quality_n1
deception	message_n2
decision	knowledge_n1
deck	artifact_n1
decomposition	phenomenon_n1
decoration	artifact_n1
decoy	device_n1
deduction	knowledge_n1
deer	animal_n1
defect	state_n4
defence	social_group_n1
defender	person_n1
defense	activity_n1
deficiency	state_n4
deficit	property_n3
definition	message_n2
deforestation	action_n1
deformity	state_n4
degeneration	phenomenon_n1
degradation	action_n1
degree	property_n3
dehydration	state_n4
deinonychus	animal_n1
deletion	action_n1
delicacy	food_n1
delight	feeling_n1
delivery	action_n1
delta	formation_n5
demography	knowledge_n1
demoiselle	person_n1
demolition	event_n1
demonstration	activity_n1
den	location_n1
density	property_n3
dentist	person_n1
dentistry	knowledge_n1
department	social_group_n1
departure	action_n1
dependence	state_n4
dependency	state_n4
depiction	message_n2
depletion	action_n1
deposition	phenomenon_n1
depression	state_n4
depth	property_n3
deputy	person_n1
descendant	person_n1
descent	event_n1
description	message_n2
desert	biom_n1
design	activity_n1
designer	person_n1
desirability	quality_n1
desire	feeling_n1
desk	artifact_n1
despair	state_n4
dessert	food_n1
destination	location_n1
destruction	action_n1
detail	knowledge_n1
detection	knowledge_n1
detective	person_n1
detector	device_n1
deterioration	state_n4
determinant	knowledge_n1
determination	action_n1
deterrent	knowledge_n1
detritus	material_n1
developer	person_n1
development	phenomenon_n1
deviation	event_n1
device	device_n1
dew	phenomenon_n1
dhole	animal_n1
diabetes	illness_n1
diagnosis	action_n1
diagram	artifact_n1
dialysis	activity_n1
diameter	property_n3
diamond	artifact_n1
diamondback	animal_n1
diaper	clothing_n1
diaphragm	body_part_n1
diarrhea	knowledge_n1
diarrhoea	knowledge_n1
diary	written_language_n1
diatom	microorganism_n1
dice	artifact_n1
dicotyledon	plant_n2
dictator	person_n1
dictionary	artifact_n1
diet	food_n1
difference	quality_n1
differentiation	knowledge_n1
difficulty	activity_n1
diffraction	phenomenon_n1
diffusion	phenomenon_n1
digestion	phenomenon_n1
digger	person_n1
digit	definite_quantity_n1
dill	plant_n2
dilution	substance_n1
dimension	property_n3
dimetrodon	animal_n1
dimorphism	phenomenon_n1
diner	person_n1
dingo	animal_n1
dinner	food_n1
dinoflagellate	microorganism_n1
dinosaur	animal_n1
diode	device_n1
dioxide	substance_n1
dipper	artifact_n1
director	person_n1
dirt	material_n1
disability	state_n4
disadvantage	quality_n1
disappearance	action_n1
disaster	state_n4
disc	device_n1
discharge	event_n1
discovery	action_n1
discrepancy	quality_n1
disease	illness_n1
dish	artifact_n1
dishwasher	artifact_n1
disintegration	state_n4
disk	shape_n2
dismay	feeling_n1
disorder	state_n4
dispersal	action_n1
dispersion	event_n1
displacement	event_n1
disposal	quality_n1
dissimilarity	quality_n1
distinction	knowledge_n1
distress	feeling_n1
distribution	knowledge_n1
district	location_n1
disturbance	activity_n1
ditch	artifact_n1
diver	person_n1
diversification	action_n1
diversion	activity_n1
diversity	quality_n1
division	action_n1
divorce	event_n1
dobson	animal_n1
doc	person_n1
doctor	person_n1
doctrine	knowledge_n1
document	written_language_n1
documentation	message_n2
dodo	bird_n1
dog	animal_n1
doggy	animal_n1
dogma	knowledge_n1
doll	artifact_n1
dollar	definite_quantity_n1
dolphin	animal_n1
domain	state_n4
dome	shape_n2
domestication	phenomenon_n1
dominance	property_n3
donkey	knowledge_n1
donut	substance_n1
door	artifact_n1
doorway	artifact_n1
dormancy	state_n4
dormouse	animal_n1
dot	shape_n2
doubt	state_n4
dough	food_n1
dove	bird_n1
downpour	phenomenon_n1
downside	knowledge_n1
dozen	definite_quantity_n1
dragonfly	insect_n1
drainage	action_n1
drainpipe	artifact_n1
drake	bird_n1
drama	written_language_n1
drawback	quality_n1
drawer	artifact_n1
dream	knowledge_n1
drink	indefinite_quantity_n1
driveway	artifact_n1
drizzle	phenomenon_n1
drone	insect_n1
droplet	indefinite_quantity_n1
drought	state_n4
drowsiness	state_n4
drum	device_n1
drummer	person_n1
dryer	artifact_n1
dryness	state_n4
duchess	person_n1
duck	bird_n1
duckling	substance_n1
duckweed	plant_n2
duct	body_part_n1
dugong	animal_n1
duke	person_n1
dumpling	substance_n1
dune	formation_n5
dung	material_n1
duodenum	body_part_n1
duplicate	artifact_n1
duplication	artifact_n1
durability	property_n3
duration	period_n1
dusk	knowledge_n1
dust	material_n1
dustman	person_n1
duty	activity_n1
dwarf	person_n1
dweller	person_n1
dye	material_n1
dynamo	device_n1
eagle	bird_n1
ear	body_part_n1
eardrum	body_part_n1
earring	artifact_n1
earth	material_n1
earthquake	phenomenon_n1
earthworm	animal_n1
earwig	insect_n1
ease	quality_n1
eater	person_n1
echidna	animal_n1
echinoderm	animal_n1
echolocation	action_n1
eclipse	event_n1
ecologist	person_n1
ecology	state_n4
economics	knowledge_n1
