Loading files... 
  Starting freebase_mtr100_mte100-train.txt
  Finished freebase_mtr100_mte100-train.txt, still running: 0
Loaded 483142 facts in 3.69 s using -213 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  /influence/influence_node/influenced  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.060535204	0.234170854	0.257079809	699	2985	2719	?b	0.0	0.0	0.0
?b  /influence/influence_node/influenced  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.062960076	0.239066097	0.261135057	727	3041	2784	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.067290205	0.251212415	0.263389831	777	3093	2950	?b	0.0	0.0	0.0
?b  /people/person/spouse_s./people/marriage/spouse  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.028232441	0.291071429	0.316197866	326	1120	1031	?b	0.0	0.0	0.0
?b  /film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance  ?f  ?f  /film/special_film_performance_type/film_performance_type./film/performance/character  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.012643977	0.748717949	0.824858757	146	195	177	?b	0.0	0.0	0.0
?a  /film/film_character/portrayed_in_films./film/performance/special_performance_type  ?f  ?b  /film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.012643977	0.748717949	0.824858757	146	195	177	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.031263532	0.289494787	0.300083126	361	1247	1203	?b	0.0	0.0	0.0
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.205594527	0.256454575	0.282484531	2374	9257	8404	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.030830519	0.282988871	0.29445823	356	1258	1209	?b	0.0	0.0	0.0
?b  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.019745388	0.308108108	0.314482759	228	740	725	?b	0.0	0.0	0.0
?b  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.017926734	0.282401091	0.291960508	207	733	709	?b	0.0	0.0	0.0
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.015934875	0.37398374	0.397408207	184	492	463	?b	0.0	0.0	0.0
?f  /people/person/profession  ?a  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.014116221	0.493939394	0.517460317	163	330	315	?b	0.0	0.0	0.0
?b  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.016974106	0.285714286	0.294736842	196	686	665	?b	0.0	0.0	0.0
?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.014809041	0.494219653	0.510447761	171	346	335	?b	0.0	0.0	0.0
?f  /people/person/profession  ?a  ?b  /people/person/spouse_s./people/marriage/spouse  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.030570711	0.306157849	0.331144465	353	1153	1066	?b	0.0	0.0	0.0
?a  /film/film_character/portrayed_in_films./film/performance/special_performance_type  ?f  ?f  /film/special_film_performance_type/film_performance_type./film/performance/actor  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.015068849	0.381578947	0.398169336	174	456	437	?b	0.0	0.0	0.0
?a  /film/film_character/portrayed_in_films./film/performance/special_performance_type  ?f  ?f  /film/personal_film_appearance_type/film_appearances./film/personal_film_appearance/person  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.012470772	0.738461538	0.822857143	144	195	175	?b	0.0	0.0	0.0
?b  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.019398978	0.315049226	0.32183908	224	711	696	?b	0.0	0.0	0.0
?a  /dataworld/gardening_hint/split_to  ?f  ?f  /people/profession/people_with_this_profession  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.246817355	0.808281339	0.808281339	2850	3526	3526	?b	0.0	0.0	0.0
?a  /dataworld/gardening_hint/split_to  ?f  ?f  /music/instrument/instrumentalists  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.018186542	0.169902913	0.176916596	210	1236	1187	?b	0.0	0.0	0.0
?a  /dataworld/gardening_hint/split_to  ?f  ?f  /music/performance_role/track_performances./music/track_contribution/contributor  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.011258335	0.215946844	0.221843003	130	602	586	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.01039231	0.288461538	0.297029703	120	416	404	?b	0.0	0.0	0.0
?f  /people/profession/people_with_this_profession  ?b  ?a  /people/profession/specializations  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.089200658	0.297773923	0.297773923	1030	3459	3459	?b	0.0	0.0	0.0
?e  /award/award_category/disciplines_or_subjects  ?a  ?e  /award/award_category/nominees./award/award_nomination/award_nominee  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.010478912	0.097032879	0.104130809	121	1247	1162	?b	0.0	0.0	0.0
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.015501862	0.372141372	0.393406593	179	481	455	?b	0.0	0.0	0.0
?e  /dataworld/gardening_hint/split_to  ?a  ?e  /people/profession/people_with_this_profession  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.246817355	0.901898734	0.901898734	2850	3160	3160	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.010132502	0.274004684	0.283980583	117	427	412	?b	0.0	0.0	0.0
?e  /people/profession/people_with_this_profession  ?b  ?e  /people/profession/specialization_of  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.089893479	0.302800467	0.302800467	1038	3428	3428	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.094656621	0.295405405	0.306591865	1093	3700	3565	?b	0.0	0.0	0.0
?e  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.331168269	0.233598045	0.256283091	3824	16370	14921	?b	0.0	0.0	0.0
?e  /award/award_winner/awards_won./award/award_honor/award_winner  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.205248116	0.250767115	0.276610644	2370	9451	8568	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.096908288	0.304076087	0.315566836	1119	3680	3546	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.068675847	0.255806452	0.265928907	793	3100	2982	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.066857192	0.255291005	0.26584022	772	3024	2904	?b	0.0	0.0	0.0
?e  /award/award_winner/awards_won./award/award_honor/award_winner  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.206200745	0.254163108	0.280414557	2381	9368	8491	?b	0.0	0.0	0.0
?e  /people/person/profession  ?a  ?e  /people/person/spouse_s./people/marriage/spouse  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.030224301	0.30506993	0.323447637	349	1144	1079	?b	0.0	0.0	0.0
?e  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.332034295	0.233197494	0.255531858	3834	16441	15004	?b	0.0	0.0	0.0
?e  /influence/influence_node/influenced_by  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.062440461	0.238425926	0.260194875	721	3024	2771	?b	0.0	0.0	0.0
?e  /people/person/spouse_s./people/marriage/spouse  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.027972634	0.288392857	0.307619048	323	1120	1050	?b	0.0	0.0	0.0
?e  /influence/influence_node/influenced  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.070321296	0.261177227	0.287841191	812	3109	2821	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.031523339	0.284153005	0.295934959	364	1281	1230	?b	0.0	0.0	0.0
?e  /influence/influence_node/influenced  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.073525591	0.269181991	0.296645702	849	3154	2862	?b	0.0	0.0	0.0
?e  /film/special_film_performance_type/film_performance_type./film/performance/actor  ?b  ?e  /film/special_film_performance_type/film_performance_type./film/performance/character  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.015068849	0.308510638	0.321626617	174	564	541	?b	0.0	0.0	0.0
?e  /film/personal_film_appearance_type/film_appearances./film/personal_film_appearance/person  ?b  ?e  /film/special_film_performance_type/film_performance_type./film/performance/character  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.012470772	0.738461538	0.822857143	144	195	175	?b	0.0	0.0	0.0
?e  /influence/influence_node/influenced_by  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.061141422	0.237231183	0.260132646	706	2976	2714	?b	0.0	0.0	0.0
?e  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.017493721	0.280945758	0.292753623	202	719	690	?b	0.0	0.0	0.0
?e  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.019658786	0.307171854	0.313103448	227	739	725	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.031523339	0.291666667	0.303080766	364	1248	1201	?b	0.0	0.0	0.0
?e  /influence/influence_node/peers./influence/peer_relationship/peers  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.01610808	0.376518219	0.400862069	186	494	464	?b	0.0	0.0	0.0
?e  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.019052568	0.311614731	0.317919075	220	706	692	?b	0.0	0.0	0.0
?e  /influence/influence_node/peers./influence/peer_relationship/peers  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.016194683	0.37029703	0.39787234	187	505	470	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b  ?e  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.01073872	0.285714286	0.293144208	124	434	423	?b	0.0	0.0	0.0
?e  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.016800901	0.287407407	0.298921418	194	675	649	?b	0.0	0.0	0.0
?e  /people/person/sibling_s./people/sibling_relationship/sibling  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.014809041	0.489971347	0.50591716	171	349	338	?b	0.0	0.0	0.0
?e  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b  ?a  /people/profession/people_with_this_profession  ?e   => ?a  /people/profession/people_with_this_profession  ?b	0.010132502	0.264108352	0.270833333	117	443	432	?b	0.0	0.0	0.0
?e  /people/person/profession  ?a  ?e  /people/person/sibling_s./people/sibling_relationship/sibling  ?b   => ?a  /people/profession/people_with_this_profession  ?b	0.01376981	0.486238532	0.509615385	159	327	312	?b	0.0	0.0	0.0
?b  /award/award_category/nominees./award/award_nomination/award_nominee  ?a  ?b  /award/award_category/winners./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.259466119	0.819455253	0.830660005	3159	3855	3803	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.138234086	0.15440367	0.162107494	1683	10900	10382	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /award/award_nominated_work/award_nominations./award/award_nomination/award_nominee  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.154989733	0.112980481	0.118344309	1887	16702	15945	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.024804928	0.126359833	0.140139211	302	2390	2155	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /film/film/directed_by  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.02201232	0.176781003	0.178785857	268	1516	1499	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /film/film/written_by  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.019383984	0.181398924	0.184808144	236	1301	1277	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /film/film/produced_by  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.019055441	0.128460687	0.133256749	232	1806	1741	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?f  /tv/tv_program/tv_producer./tv/tv_producer_term/producer  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.011909651	0.153764581	0.165714286	145	943	875	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.156468172	0.112111582	0.117462079	1905	16992	16218	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /award/award_winner/awards_won./award/award_honor/honored_for  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.134537988	0.150399412	0.157879518	1638	10891	10375	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /film/director/film  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.023737166	0.184076433	0.186451613	289	1570	1550	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /tv/tv_actor/starring_roles./tv/regular_tv_appearance/series  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.023326489	0.122413793	0.134980989	284	2320	2104	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /film/writer/film  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.021190965	0.186281588	0.190687361	258	1385	1353	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.012156057	0.156282999	0.169336384	148	947	874	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/honored_for  ?f  ?a  /film/producer/film  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.019466119	0.129084967	0.13337085	237	1836	1777	?a	0.0	0.0	0.0
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?f  ?f  /award/award_winning_work/awards_won./award/award_honor/award  ?b   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.162217659	0.113297384	0.11859725	1975	17432	16653	?a	0.0	0.0	0.0
?f  /award/award_nominated_work/award_nominations./award/award_nomination/award  ?b  ?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.354004107	0.11667569	0.122165533	4310	36940	35280	?a	0.0	0.0	0.0
?b  /award/award_category/nominees./award/award_nomination/nominated_for  ?f  ?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.356796715	0.117838542	0.123367034	4344	36864	35212	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?f  ?f  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.172238193	0.178924915	0.189055175	2097	11720	11092	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?f  ?f  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.033264887	0.118110236	0.129021982	405	3429	3139	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?f  ?f  /influence/influence_node/influenced  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.016344969	0.129472999	0.157187994	199	1537	1266	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?f  ?f  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.263080082	0.140519435	0.146987288	3203	22794	21791	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?f  ?f  /influence/influence_node/influenced_by  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.014620123	0.085618086	0.145187602	178	2079	1226	?a	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?f  ?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?f   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.170184805	0.176882363	0.186834986	2072	11714	11090	?a	0.0	0.0	0.0
