Method	Model	Metric	Fraction	Result
ADV	DistMult	MRR	0.5	0.39
ADV	DistMult	MRR	0.6	0.47
ADV	DistMult	MRR	0.7	0.55
ADV	DistMult	MRR	0.8	0.62
ADV	DistMult	MRR	0.9	0.70
ADV	DistMult	MRR	1.0	0.85
ADV	ComplEx	MR	0.1	17107.18
ADV	ComplEx	MR	0.2	14566.44
ADV	ComplEx	MR	0.3	11911.23
ADV	ComplEx	MR	0.4	9096.83
ADV	ComplEx	MR	0.5	5859.74
ADV	ComplEx	MR	0.6	3875.79
ADV	ComplEx	MR	0.7	2462.95
ADV	ComplEx	MR	0.8	1566.82
ADV	ComplEx	MR	0.9	864.11
ADV	ComplEx	MR	1.0	417.04
ADV	ComplEx	HITS@5	0.1	9.63
ADV	ComplEx	HITS@5	0.2	18.81
ADV	ComplEx	HITS@5	0.3	28.49
ADV	ComplEx	HITS@5	0.4	38.86
ADV	ComplEx	HITS@5	0.5	47.51
ADV	ComplEx	HITS@5	0.6	57.10
ADV	ComplEx	HITS@5	0.7	65.84
ADV	ComplEx	HITS@5	0.8	74.61
ADV	ComplEx	HITS@5	0.9	83.39
ADV	ComplEx	HITS@5	1.0	94.58
ADV	ComplEx	HITS@3	0.1	9.31
ADV	ComplEx	HITS@3	0.2	18.20
ADV	ComplEx	HITS@3	0.3	27.33
ADV	ComplEx	HITS@3	0.4	36.97
ADV	ComplEx	HITS@3	0.5	45.29
ADV	ComplEx	HITS@3	0.6	54.01
ADV	ComplEx	HITS@3	0.7	63.00
ADV	ComplEx	HITS@3	0.8	71.78
ADV	ComplEx	HITS@3	0.9	81.04
ADV	ComplEx	HITS@3	1.0	94.35
ADV	ComplEx	HITS@1	0.1	8.42
ADV	ComplEx	HITS@1	0.2	15.11
ADV	ComplEx	HITS@1	0.3	22.81
ADV	ComplEx	HITS@1	0.4	30.41
ADV	ComplEx	HITS@1	0.5	37.35
ADV	ComplEx	HITS@1	0.6	45.21
ADV	ComplEx	HITS@1	0.7	53.35
ADV	ComplEx	HITS@1	0.8	62.26
ADV	ComplEx	HITS@1	0.9	72.45
ADV	ComplEx	HITS@1	1.0	93.60
ADV	ComplEx	HITS@10	0.1	9.86
ADV	ComplEx	HITS@10	0.2	19.56
ADV	ComplEx	HITS@10	0.3	29.90
ADV	ComplEx	HITS@10	0.4	41.05
ADV	ComplEx	HITS@10	0.5	49.95
ADV	ComplEx	HITS@10	0.6	59.92
ADV	ComplEx	HITS@10	0.7	68.71
ADV	ComplEx	HITS@10	0.8	77.28
ADV	ComplEx	HITS@10	0.9	85.16
ADV	ComplEx	HITS@10	1.0	94.78
ADV	ComplEx	MRR	0.1	0.09
ADV	ComplEx	MRR	0.2	0.17
ADV	ComplEx	MRR	0.3	0.25
ADV	ComplEx	MRR	0.4	0.34
ADV	ComplEx	MRR	0.5	0.42
ADV	ComplEx	MRR	0.6	0.50
ADV	ComplEx	MRR	0.7	0.59
ADV	ComplEx	MRR	0.8	0.68
ADV	ComplEx	MRR	0.9	0.77
ADV	ComplEx	MRR	1.0	0.94
STD	TransE	MR	0.1	18131.32
STD	TransE	MR	0.2	14896.50
STD	TransE	MR	0.3	11390.69
STD	TransE	MR	0.4	8234.27
STD	TransE	MR	0.5	5910.06
STD	TransE	MR	0.6	4304.97
STD	TransE	MR	0.7	3026.62
STD	TransE	MR	0.8	2226.15
STD	TransE	MR	0.9	1510.96
STD	TransE	MR	1.0	959.89
STD	TransE	HITS@5	0.1	5.33
STD	TransE	HITS@5	0.2	10.53
STD	TransE	HITS@5	0.3	14.96
STD	TransE	HITS@5	0.4	18.22
STD	TransE	HITS@5	0.5	20.28
STD	TransE	HITS@5	0.6	21.70
STD	TransE	HITS@5	0.7	21.59
STD	TransE	HITS@5	0.8	21.52
STD	TransE	HITS@5	0.9	21.68
STD	TransE	HITS@5	1.0	21.10
STD	TransE	HITS@3	0.1	3.99
STD	TransE	HITS@3	0.2	8.07
STD	TransE	HITS@3	0.3	11.44
STD	TransE	HITS@3	0.4	13.02
STD	TransE	HITS@3	0.5	14.79
STD	TransE	HITS@3	0.6	15.26
STD	TransE	HITS@3	0.7	14.63
STD	TransE	HITS@3	0.8	15.49
STD	TransE	HITS@3	0.9	15.21
STD	TransE	HITS@3	1.0	14.49
STD	TransE	HITS@1	0.1	0.51
STD	TransE	HITS@1	0.2	1.63
STD	TransE	HITS@1	0.3	2.65
STD	TransE	HITS@1	0.4	3.19
STD	TransE	HITS@1	0.5	3.72
STD	TransE	HITS@1	0.6	3.78
STD	TransE	HITS@1	0.7	4.03
STD	TransE	HITS@1	0.8	4.16
STD	TransE	HITS@1	0.9	4.10
STD	TransE	HITS@1	1.0	3.81
STD	TransE	HITS@10	0.1	6.26
STD	TransE	HITS@10	0.2	12.85
STD	TransE	HITS@10	0.3	19.29
STD	TransE	HITS@10	0.4	24.34
STD	TransE	HITS@10	0.5	27.43
STD	TransE	HITS@10	0.6	29.84
STD	TransE	HITS@10	0.7	30.48
STD	TransE	HITS@10	0.8	30.26
STD	TransE	HITS@10	0.9	31.03
STD	TransE	HITS@10	1.0	30.65
STD	TransE	MRR	0.1	0.03
STD	TransE	MRR	0.2	0.06
STD	TransE	MRR	0.3	0.08
STD	TransE	MRR	0.4	0.10
STD	TransE	MRR	0.5	0.11
STD	TransE	MRR	0.6	0.12
STD	TransE	MRR	0.7	0.12
STD	TransE	MRR	0.8	0.12
STD	TransE	MRR	0.9	0.13
STD	TransE	MRR	1.0	0.12
STD	DistMult	MR	0.1	17030.47
STD	DistMult	MR	0.2	14631.25
STD	DistMult	MR	0.3	12090.04
STD	DistMult	MR	0.4	9513.87
STD	DistMult	MR	0.5	7374.47
STD	DistMult	MR	0.6	5616.77
STD	DistMult	MR	0.7	3772.61
STD	DistMult	MR	0.8	2475.85
STD	DistMult	MR	0.9	1485.52
STD	DistMult	MR	1.0	510.03
STD	DistMult	HITS@5	0.1	8.27
STD	DistMult	HITS@5	0.2	18.23
STD	DistMult	HITS@5	0.3	27.40
STD	DistMult	HITS@5	0.4	37.29
STD	DistMult	HITS@5	0.5	46.14
STD	DistMult	HITS@5	0.6	55.50
STD	DistMult	HITS@5	0.7	64.30
STD	DistMult	HITS@5	0.8	73.27
STD	DistMult	HITS@5	0.9	82.09
STD	DistMult	HITS@5	1.0	93.70
STD	DistMult	HITS@3	0.1	7.60
STD	DistMult	HITS@3	0.2	17.38
STD	DistMult	HITS@3	0.3	25.82
STD	DistMult	HITS@3	0.4	35.32
STD	DistMult	HITS@3	0.5	43.46
STD	DistMult	HITS@3	0.6	52.57
STD	DistMult	HITS@3	0.7	61.28
STD	DistMult	HITS@3	0.8	68.88
STD	DistMult	HITS@3	0.9	78.84
STD	DistMult	HITS@3	1.0	92.78
STD	DistMult	HITS@1	0.1	5.61
STD	DistMult	HITS@1	0.2	12.98
STD	DistMult	HITS@1	0.3	19.83
STD	DistMult	HITS@1	0.4	26.47
STD	DistMult	HITS@1	0.5	32.68
STD	DistMult	HITS@1	0.6	39.13
STD	DistMult	HITS@1	0.7	45.65
STD	DistMult	HITS@1	0.8	52.22
STD	DistMult	HITS@1	0.9	60.77
STD	DistMult	HITS@1	1.0	76.80
STD	DistMult	HITS@10	0.1	8.81
STD	DistMult	HITS@10	0.2	18.92
STD	DistMult	HITS@10	0.3	28.53
STD	DistMult	HITS@10	0.4	39.34
STD	DistMult	HITS@10	0.5	48.55
STD	DistMult	HITS@10	0.6	58.11
STD	DistMult	HITS@10	0.7	67.34
STD	DistMult	HITS@10	0.8	75.89
STD	DistMult	HITS@10	0.9	84.74
STD	DistMult	HITS@10	1.0	94.68
STD	DistMult	MRR	0.1	0.07
STD	DistMult	MRR	0.2	0.15
STD	DistMult	MRR	0.3	0.23
STD	DistMult	MRR	0.4	0.31
STD	DistMult	MRR	0.5	0.39
STD	DistMult	MRR	0.6	0.47
STD	DistMult	MRR	0.7	0.54
STD	DistMult	MRR	0.8	0.61
STD	DistMult	MRR	0.9	0.70
STD	DistMult	MRR	1.0	0.85
STD	ComplEx	MR	0.1	17930.40
STD	ComplEx	MR	0.2	15031.94
STD	ComplEx	MR	0.3	12310.41
STD	ComplEx	MR	0.4	10012.18
STD	ComplEx	MR	0.5	7641.28
STD	ComplEx	MR	0.6	5424.25
STD	ComplEx	MR	0.7	3955.53
STD	ComplEx	MR	0.8	2721.79
STD	ComplEx	MR	0.9	1714.89
STD	ComplEx	MR	1.0	496.50
STD	ComplEx	HITS@5	0.1	8.09
STD	ComplEx	HITS@5	0.2	17.85
STD	ComplEx	HITS@5	0.3	27.29
STD	ComplEx	HITS@5	0.4	37.38
STD	ComplEx	HITS@5	0.5	46.15
STD	ComplEx	HITS@5	0.6	56.02
STD	ComplEx	HITS@5	0.7	64.62
STD	ComplEx	HITS@5	0.8	73.92
STD	ComplEx	HITS@5	0.9	82.79
STD	ComplEx	HITS@5	1.0	94.58
STD	ComplEx	HITS@3	0.1	7.66
STD	ComplEx	HITS@3	0.2	17.37
STD	ComplEx	HITS@3	0.3	26.24
STD	ComplEx	HITS@3	0.4	35.81
STD	ComplEx	HITS@3	0.5	44.30
STD	ComplEx	HITS@3	0.6	53.78
STD	ComplEx	HITS@3	0.7	62.55
STD	ComplEx	HITS@3	0.8	71.24
STD	ComplEx	HITS@3	0.9	81.03
STD	ComplEx	HITS@3	1.0	94.51
STD	ComplEx	HITS@1	0.1	6.06
STD	ComplEx	HITS@1	0.2	14.52
STD	ComplEx	HITS@1	0.3	21.91
STD	ComplEx	HITS@1	0.4	29.99
STD	ComplEx	HITS@1	0.5	37.00
STD	ComplEx	HITS@1	0.6	45.36
STD	ComplEx	HITS@1	0.7	53.07
STD	ComplEx	HITS@1	0.8	62.03
STD	ComplEx	HITS@1	0.9	72.50
STD	ComplEx	HITS@1	1.0	93.80
STD	ComplEx	HITS@10	0.1	8.68
STD	ComplEx	HITS@10	0.2	18.50
STD	ComplEx	HITS@10	0.3	28.37
STD	ComplEx	HITS@10	0.4	38.76
STD	ComplEx	HITS@10	0.5	48.50
STD	ComplEx	HITS@10	0.6	58.30
STD	ComplEx	HITS@10	0.7	67.26
STD	ComplEx	HITS@10	0.8	76.05
STD	ComplEx	HITS@10	0.9	84.69
STD	ComplEx	HITS@10	1.0	94.63
STD	ComplEx	MRR	0.1	0.07
STD	ComplEx	MRR	0.2	0.16
STD	ComplEx	MRR	0.3	0.24
STD	ComplEx	MRR	0.4	0.33
STD	ComplEx	MRR	0.5	0.41
STD	ComplEx	MRR	0.6	0.50
STD	ComplEx	MRR	0.7	0.58
STD	ComplEx	MRR	0.8	0.68
STD	ComplEx	MRR	0.9	0.77
STD	ComplEx	MRR	1.0	0.94
SMPL	TransE	MR	0.1	18131.32
SMPL	TransE	MR	0.2	14855.25
SMPL	TransE	MR	0.3	10840.34
SMPL	TransE	MR	0.4	7117.20
SMPL	TransE	MR	0.5	4528.00
SMPL	TransE	MR	0.6	2812.55
SMPL	TransE	MR	0.7	1846.28
SMPL	TransE	MR	0.8	1291.96
SMPL	TransE	MR	0.9	876.26
SMPL	TransE	MR	1.0	434.30
SMPL	TransE	HITS@5	0.1	7.70
SMPL	TransE	HITS@5	0.2	13.34
SMPL	TransE	HITS@5	0.3	17.38
SMPL	TransE	HITS@5	0.4	20.13
SMPL	TransE	HITS@5	0.5	21.62
SMPL	TransE	HITS@5	0.6	23.35
SMPL	TransE	HITS@5	0.7	23.57
SMPL	TransE	HITS@5	0.8	23.42
SMPL	TransE	HITS@5	0.9	22.88
SMPL	TransE	HITS@5	1.0	23.22
SMPL	TransE	HITS@3	0.1	6.49
SMPL	TransE	HITS@3	0.2	9.46
SMPL	TransE	HITS@3	0.3	12.18
SMPL	TransE	HITS@3	0.4	14.01
SMPL	TransE	HITS@3	0.5	16.15
SMPL	TransE	HITS@3	0.6	16.78
SMPL	TransE	HITS@3	0.7	17.10
SMPL	TransE	HITS@3	0.8	16.85
SMPL	TransE	HITS@3	0.9	16.64
SMPL	TransE	HITS@3	1.0	16.55
SMPL	TransE	HITS@1	0.1	1.31
SMPL	TransE	HITS@1	0.2	1.84
SMPL	TransE	HITS@1	0.3	2.94
SMPL	TransE	HITS@1	0.4	3.46
SMPL	TransE	HITS@1	0.5	4.26
SMPL	TransE	HITS@1	0.6	4.75
SMPL	TransE	HITS@1	0.7	4.95
SMPL	TransE	HITS@1	0.8	4.81
SMPL	TransE	HITS@1	0.9	5.06
SMPL	TransE	HITS@1	1.0	4.94
SMPL	TransE	HITS@10	0.1	8.73
SMPL	TransE	HITS@10	0.2	16.83
SMPL	TransE	HITS@10	0.3	22.98
SMPL	TransE	HITS@10	0.4	27.10
SMPL	TransE	HITS@10	0.5	30.13
SMPL	TransE	HITS@10	0.6	31.50
SMPL	TransE	HITS@10	0.7	31.68
SMPL	TransE	HITS@10	0.8	32.24
SMPL	TransE	HITS@10	0.9	32.30
SMPL	TransE	HITS@10	1.0	32.60
SMPL	TransE	MRR	0.1	0.04
SMPL	TransE	MRR	0.2	0.06
SMPL	TransE	MRR	0.3	0.09
SMPL	TransE	MRR	0.4	0.11
SMPL	TransE	MRR	0.5	0.12
SMPL	TransE	MRR	0.6	0.13
SMPL	TransE	MRR	0.7	0.14
SMPL	TransE	MRR	0.8	0.14
SMPL	TransE	MRR	0.9	0.14
SMPL	TransE	MRR	1.0	0.14
SMPL	DistMult	MR	0.1	17030.47
SMPL	DistMult	MR	0.2	14631.25
SMPL	DistMult	MR	0.3	12108.80
SMPL	DistMult	MR	0.4	8857.73
SMPL	DistMult	MR	0.5	5651.30
SMPL	DistMult	MR	0.6	4176.76
SMPL	DistMult	MR	0.7	2792.07
SMPL	DistMult	MR	0.8	1701.88
SMPL	DistMult	MR	0.9	1203.85
SMPL	DistMult	MR	1.0	455.49
SMPL	DistMult	HITS@5	0.1	9.70
SMPL	DistMult	HITS@5	0.2	18.59
SMPL	DistMult	HITS@5	0.3	28.59
SMPL	DistMult	HITS@5	0.4	38.45
SMPL	DistMult	HITS@5	0.5	47.15
SMPL	DistMult	HITS@5	0.6	56.31
SMPL	DistMult	HITS@5	0.7	65.20
SMPL	DistMult	HITS@5	0.8	73.82
SMPL	DistMult	HITS@5	0.9	82.79
SMPL	DistMult	HITS@5	1.0	93.71
SMPL	DistMult	HITS@3	0.1	9.42
SMPL	DistMult	HITS@3	0.2	17.76
SMPL	DistMult	HITS@3	0.3	26.81
SMPL	DistMult	HITS@3	0.4	36.19
SMPL	DistMult	HITS@3	0.5	44.23
SMPL	DistMult	HITS@3	0.6	52.95
SMPL	DistMult	HITS@3	0.7	61.82
SMPL	DistMult	HITS@3	0.8	70.00
SMPL	DistMult	HITS@3	0.9	78.95
SMPL	DistMult	HITS@3	1.0	92.79
SMPL	DistMult	HITS@1	0.1	7.92
SMPL	DistMult	HITS@1	0.2	14.11
SMPL	DistMult	HITS@1	0.3	20.60
SMPL	DistMult	HITS@1	0.4	26.76
SMPL	DistMult	HITS@1	0.5	32.74
SMPL	DistMult	HITS@1	0.6	39.68
SMPL	DistMult	HITS@1	0.7	45.29
SMPL	DistMult	HITS@1	0.8	52.48
SMPL	DistMult	HITS@1	0.9	60.85
SMPL	DistMult	HITS@1	1.0	76.80
SMPL	DistMult	HITS@10	0.1	10.04
SMPL	DistMult	HITS@10	0.2	19.38
SMPL	DistMult	HITS@10	0.3	30.05
SMPL	DistMult	HITS@10	0.4	40.64
SMPL	DistMult	HITS@10	0.5	49.58
SMPL	DistMult	HITS@10	0.6	59.17
SMPL	DistMult	HITS@10	0.7	68.25
SMPL	DistMult	HITS@10	0.8	76.60
SMPL	DistMult	HITS@10	0.9	85.10
SMPL	DistMult	HITS@10	1.0	94.54
SMPL	DistMult	MRR	0.1	0.09
SMPL	DistMult	MRR	0.2	0.16
SMPL	DistMult	MRR	0.3	0.24
SMPL	DistMult	MRR	0.4	0.33
SMPL	DistMult	MRR	0.5	0.39
SMPL	DistMult	MRR	0.6	0.47
SMPL	DistMult	MRR	0.7	0.55
SMPL	DistMult	MRR	0.8	0.62
SMPL	DistMult	MRR	0.9	0.70
SMPL	DistMult	MRR	1.0	0.85
SMPL	ComplEx	MR	0.1	17107.18
SMPL	ComplEx	MR	0.2	14566.44
SMPL	ComplEx	MR	0.3	11920.58
SMPL	ComplEx	MR	0.4	9096.83
SMPL	ComplEx	MR	0.5	5859.74
SMPL	ComplEx	MR	0.6	3919.33
SMPL	ComplEx	MR	0.7	2549.32
SMPL	ComplEx	MR	0.8	1606.26
SMPL	ComplEx	MR	0.9	909.51
SMPL	ComplEx	MR	1.0	475.71
SMPL	ComplEx	HITS@5	0.1	9.60
SMPL	ComplEx	HITS@5	0.2	18.90
SMPL	ComplEx	HITS@5	0.3	28.34
SMPL	ComplEx	HITS@5	0.4	38.97
SMPL	ComplEx	HITS@5	0.5	47.38
SMPL	ComplEx	HITS@5	0.6	56.95
SMPL	ComplEx	HITS@5	0.7	65.65
SMPL	ComplEx	HITS@5	0.8	73.96
SMPL	ComplEx	HITS@5	0.9	83.39
SMPL	ComplEx	HITS@5	1.0	94.58
SMPL	ComplEx	HITS@3	0.1	9.29
SMPL	ComplEx	HITS@3	0.2	18.17
SMPL	ComplEx	HITS@3	0.3	27.17
SMPL	ComplEx	HITS@3	0.4	36.94
SMPL	ComplEx	HITS@3	0.5	45.29
SMPL	ComplEx	HITS@3	0.6	54.02
SMPL	ComplEx	HITS@3	0.7	62.90
SMPL	ComplEx	HITS@3	0.8	71.48
SMPL	ComplEx	HITS@3	0.9	80.48
SMPL	ComplEx	HITS@3	1.0	94.41
SMPL	ComplEx	HITS@1	0.1	8.41
SMPL	ComplEx	HITS@1	0.2	15.03
SMPL	ComplEx	HITS@1	0.3	22.81
SMPL	ComplEx	HITS@1	0.4	30.44
SMPL	ComplEx	HITS@1	0.5	37.35
SMPL	ComplEx	HITS@1	0.6	45.35
SMPL	ComplEx	HITS@1	0.7	53.35
SMPL	ComplEx	HITS@1	0.8	61.50
SMPL	ComplEx	HITS@1	0.9	72.45
SMPL	ComplEx	HITS@1	1.0	93.58
SMPL	ComplEx	HITS@10	0.1	9.98
SMPL	ComplEx	HITS@10	0.2	19.56
SMPL	ComplEx	HITS@10	0.3	29.66
SMPL	ComplEx	HITS@10	0.4	41.17
SMPL	ComplEx	HITS@10	0.5	49.78
SMPL	ComplEx	HITS@10	0.6	59.92
SMPL	ComplEx	HITS@10	0.7	68.43
SMPL	ComplEx	HITS@10	0.8	76.97
SMPL	ComplEx	HITS@10	0.9	85.16
SMPL	ComplEx	HITS@10	1.0	94.78
SMPL	ComplEx	MRR	0.1	0.09
SMPL	ComplEx	MRR	0.2	0.17
SMPL	ComplEx	MRR	0.3	0.25
SMPL	ComplEx	MRR	0.4	0.34
SMPL	ComplEx	MRR	0.5	0.42
SMPL	ComplEx	MRR	0.6	0.51
SMPL	ComplEx	MRR	0.7	0.59
SMPL	ComplEx	MRR	0.8	0.67
SMPL	ComplEx	MRR	0.9	0.77
SMPL	ComplEx	MRR	1.0	0.94
LOG	TransE	MR	0.1	17138.94
LOG	TransE	MR	0.2	14506.87
LOG	TransE	MR	0.3	11560.24
LOG	TransE	MR	0.4	8612.45
LOG	TransE	MR	0.5	6371.79
LOG	TransE	MR	0.6	4700.07
LOG	TransE	MR	0.7	3396.64
LOG	TransE	MR	0.8	2457.62
LOG	TransE	MR	0.9	1633.66
LOG	TransE	MR	1.0	1051.63
LOG	TransE	HITS@5	0.1	5.46
LOG	TransE	HITS@5	0.2	10.63
LOG	TransE	HITS@5	0.3	14.99
LOG	TransE	HITS@5	0.4	18.54
LOG	TransE	HITS@5	0.5	20.75
LOG	TransE	HITS@5	0.6	21.33
LOG	TransE	HITS@5	0.7	21.52
LOG	TransE	HITS@5	0.8	21.34
LOG	TransE	HITS@5	0.9	21.09
LOG	TransE	HITS@5	1.0	20.65
LOG	TransE	HITS@3	0.1	4.49
LOG	TransE	HITS@3	0.2	8.26
LOG	TransE	HITS@3	0.3	11.20
LOG	TransE	HITS@3	0.4	13.40
LOG	TransE	HITS@3	0.5	14.40
LOG	TransE	HITS@3	0.6	15.17
LOG	TransE	HITS@3	0.7	14.70
LOG	TransE	HITS@3	0.8	14.64
LOG	TransE	HITS@3	0.9	14.67
LOG	TransE	HITS@3	1.0	14.38
LOG	TransE	HITS@1	0.1	0.61
LOG	TransE	HITS@1	0.2	1.36
LOG	TransE	HITS@1	0.3	2.19
LOG	TransE	HITS@1	0.4	2.68
LOG	TransE	HITS@1	0.5	3.15
LOG	TransE	HITS@1	0.6	3.44
LOG	TransE	HITS@1	0.7	3.08
LOG	TransE	HITS@1	0.8	3.49
LOG	TransE	HITS@1	0.9	3.36
LOG	TransE	HITS@1	1.0	3.67
LOG	TransE	HITS@10	0.1	6.34
LOG	TransE	HITS@10	0.2	12.81
LOG	TransE	HITS@10	0.3	18.49
LOG	TransE	HITS@10	0.4	24.00
LOG	TransE	HITS@10	0.5	27.91
LOG	TransE	HITS@10	0.6	29.49
LOG	TransE	HITS@10	0.7	30.23
LOG	TransE	HITS@10	0.8	30.49
LOG	TransE	HITS@10	0.9	31.32
LOG	TransE	HITS@10	1.0	31.28
LOG	TransE	MRR	0.1	0.03
LOG	TransE	MRR	0.2	0.06
LOG	TransE	MRR	0.3	0.08
LOG	TransE	MRR	0.4	0.10
LOG	TransE	MRR	0.5	0.11
LOG	TransE	MRR	0.6	0.12
LOG	TransE	MRR	0.7	0.12
LOG	TransE	MRR	0.8	0.12
LOG	TransE	MRR	0.9	0.12
LOG	TransE	MRR	1.0	0.12
LOG	DistMult	MR	0.1	17346.15
LOG	DistMult	MR	0.2	14775.73
LOG	DistMult	MR	0.3	12306.60
LOG	DistMult	MR	0.4	9702.13
LOG	DistMult	MR	0.5	7433.85
LOG	DistMult	MR	0.6	5153.08
LOG	DistMult	MR	0.7	3753.29
LOG	DistMult	MR	0.8	2659.64
LOG	DistMult	MR	0.9	1494.36
LOG	DistMult	MR	1.0	531.02
LOG	DistMult	HITS@5	0.1	6.89
LOG	DistMult	HITS@5	0.2	18.27
LOG	DistMult	HITS@5	0.3	27.60
LOG	DistMult	HITS@5	0.4	37.40
LOG	DistMult	HITS@5	0.5	46.60
LOG	DistMult	HITS@5	0.6	55.72
LOG	DistMult	HITS@5	0.7	64.57
LOG	DistMult	HITS@5	0.8	73.34
LOG	DistMult	HITS@5	0.9	82.02
LOG	DistMult	HITS@5	1.0	93.81
LOG	DistMult	HITS@3	0.1	6.30
LOG	DistMult	HITS@3	0.2	17.43
LOG	DistMult	HITS@3	0.3	26.15
LOG	DistMult	HITS@3	0.4	35.56
LOG	DistMult	HITS@3	0.5	44.23
LOG	DistMult	HITS@3	0.6	52.35
LOG	DistMult	HITS@3	0.7	60.97
LOG	DistMult	HITS@3	0.8	69.71
